start_address,end_address,size,type,confidence,source_status,description
0x801e5f08,0x801e5fa7,160,code,verified,hand_written_source,Overlay function FUN_801e5f08
0x801e5fa8,0x801e5faf,8,code,verified,hand_written_source,Overlay function FUN_801e5fa8
0x801e5fb0,0x801e5fe7,56,code,verified,hand_written_source,Overlay function FUN_801e5fb0
0x801e5fe8,0x801e600b,36,code,verified,hand_written_source,Overlay function FUN_801e5fe8
0x801e600c,0x801e601b,16,code,verified,hand_written_source,Overlay function FUN_801e600c
0x801e601c,0x801e6083,104,code,verified,hand_written_source,Overlay function FUN_801e601c
0x801e6084,0x801e6187,260,code,verified,hand_written_source,Overlay function FUN_801e6084
0x801e6188,0x801e61b3,44,code,verified,hand_written_source,Overlay function FUN_801e6188
0x801e61b4,0x801e61df,44,code,verified,hand_written_source,Overlay function FUN_801e61b4
0x801e61e0,0x801e620b,44,code,verified,hand_written_source,Overlay function FUN_801e61e0
0x801e620c,0x801e626f,100,code,verified,hand_written_source,Overlay function FUN_801e620c
0x801e6270,0x801e631f,176,code,verified,hand_written_source,Overlay function FUN_801e6270
0x801e6320,0x801e634b,44,code,verified,hand_written_source,Overlay function FUN_801e6320
0x801e634c,0x801e6407,188,code,verified,hand_written_source,Overlay function FUN_801e634c
0x801e6408,0x801e64d3,204,code,verified,hand_written_source,Overlay function FUN_801e6408
0x801e64d4,0x801e64db,8,code,verified,hand_written_source,Overlay function FUN_801e64d4
0x801e64dc,0x801e64e3,8,code,verified,hand_written_source,Overlay function FUN_801e64dc
0x801e64e4,0x801e65eb,264,data_table,verified,reference_structure,Scripted tick & interpolation parameter tables
0x801e65ec,0x801e664b,96,data_table,verified,reference_structure,Scripted parameter pointer arrays
0x801e664c,0x801e66c3,120,data_table,verified,reference_structure,Callback command structure parameter arrays
0x801e66c4,0x801e6b6b,1200,command_list,verified,reference_structure,"97-step command script (96 callbacks, 1 jump, 1,910 total ticks)"
0x801e6b6c,0x801e6e57,748,data_unresolved,verified,reference_structure,3D lighting/model transform parameter tables and alignment padding
